,open,high,low,close,adjclose,volume,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2020-04-14,86.42703295848942,87.11417735161632,84.08133303474409,85.19793925097666,85.19793925097666,4044032,85.710594,85.3176910337936,0.11975178281693388,0.0
2020-04-28,85.8565427490029,86.56545861821878,83.57982315455635,84.64875921191461,84.64875921191461,2139500,85.05121,84.52875183891258,-0.12000737300202502,0.0
2020-05-08,82.88573927444058,84.19345294409007,81.72653560728341,83.8346130650686,83.8346130650686,3255069,84.040215,83.63417519903014,-0.20043786603845604,0.0
2020-05-12,83.60781478308161,84.8875705365939,82.37260089647526,83.58677438093557,83.58677438093557,4797315,83.79502,83.4802924113624,-0.10648196957316713,0.0
2020-05-13,83.61077468347986,83.8252110123345,82.58699522896083,83.4802924113624,83.4802924113624,4567187,83.70765,83.39325258043354,-0.08703983092885892,0.0
2020-05-19,82.96612011956704,83.84298150469094,82.38209591870579,82.99116758667319,82.99116758667319,2972698,83.29768,82.85472008152736,-0.13644750514582427,0.0
2020-05-29,81.80439438791747,83.00663917342746,81.50432864533235,82.41142829391241,82.41142829391241,4602920,82.49155,82.29467567107123,-0.11675262284117593,0.0
2020-06-01,82.24096530238351,83.38094067845712,81.64810229910451,82.29467567107125,82.29467567107125,2744379,82.418594,82.22313506738972,-0.0715406036815267,0.0
2020-06-02,81.21461734074828,82.61766589117077,80.02855350439843,82.22313506738972,82.22313506738972,2827640,82.263336,82.25017786390868,0.02704279651895547,0.0
2020-06-03,81.9880271338536,83.4037402480659,81.10492383665039,82.25017786390868,82.25017786390868,4739549,82.156456,81.99810361338221,0.0,0.25207425052646215
2020-06-10,81.31549858435255,81.95702680315992,80.94982860738834,81.628624837757,81.628624837757,1214021,81.79533,81.3591865710504,-0.26943826670660087,0.0
2020-06-11,81.7334103360743,83.09769448950726,80.07686474410906,81.3591865710504,81.3591865710504,4028085,81.69816,81.19971350574268,-0.1594730653077221,0.0
2020-06-15,80.85776770299047,82.31471036544438,80.22145081280156,80.94566793581113,80.94566793581113,3644743,81.4476,80.56716744870744,-0.3785004871036932,0.0
2020-06-25,79.38647599397746,81.09670693971913,78.47431354441723,79.89588676194515,79.89588676194515,1464256,79.853775,79.85994409946343,0.0,0.03594266248171607
2020-07-03,80.80735379326015,81.53988544862163,78.89224589341006,79.52951903102725,79.52951903102725,3691139,79.62954,79.5025165918138,-0.02700243921344736,0.0
2020-07-17,79.40276907634247,79.97600374844714,78.86901881972332,79.70690421363096,79.70690421363096,3816405,79.8191,79.64077548332031,-0.06612873031065192,0.0
2020-07-27,79.39871554315619,80.2768995073387,79.08323646043289,79.77653364591272,79.77653364591272,2508395,79.774956,79.69390214962118,0.0,0.08263149629154043
2020-08-19,79.27922409084917,81.41233409858069,79.02673901701486,80.27376254061022,80.27376254061022,1894450,79.809715,80.42810208086495,0.0,-0.15433954025472474
2020-08-21,80.34689840033758,80.95444020211706,80.11344460901863,80.66802679949981,80.66802679949981,1336643,80.12577,80.72850221293533,0.0,-0.06047541343551188
2020-08-27,81.6914748600185,82.27632411167585,80.6048267989254,81.3483995613934,81.3483995613934,2641597,80.78421,81.51467893166969,0.0,-0.16627937027628548
2020-08-28,80.39976215794509,82.85404819134702,79.77048746127662,81.51467893166969,81.51467893166969,1826955,81.00711,81.55705407305672,0.0,-0.04237514138702636
2020-09-01,80.55476653398262,82.76569464519869,79.24701780713099,81.62084362623943,81.62084362623943,3537396,81.40538,81.79735539756582,0.0,-0.17651177132638907
2020-09-07,81.48895126885164,82.58190762279543,81.01611471995028,82.3407886610844,82.3407886610844,2436316,82.10177,82.48649370371739,0.0,-0.1457050426329829
2020-09-21,83.29842603207913,85.23443624951541,82.90304133070269,84.17816236963372,84.17816236963372,1219204,83.94971,84.25797679737116,0.0,-0.07981442773743197
2020-10-01,86.73354202408734,87.39001825280955,84.85540792749514,85.18935038827466,85.18935038827466,1969832,85.15138,85.44708839767375,0.0,-0.2577380093990911
2020-10-07,85.66379824141734,86.6910379056539,85.40250573232778,85.95355042163683,85.95355042163683,2338784,85.69181,86.20520567616299,0.0,-0.2516552545261561
2020-10-08,85.77611657740107,87.32133434008848,85.1707898673537,86.20520567616299,86.20520567616299,4871784,85.857376,86.3909375274077,0.0,-0.1857318512447108
2020-10-23,87.99590766529299,88.42918592820402,86.65523158949142,87.58249767446067,87.58249767446067,3883297,87.39444,87.81025261470958,0.0,-0.2277549402489143
2020-10-26,87.19485441171814,88.8122177982039,86.06953102758638,87.81025261470957,87.81025261470957,2476849,87.524345,87.81695398498306,0.0,-0.006701370273489715
2020-11-02,87.2423638566319,89.70438174762181,86.16227992243932,88.42677289854535,88.42677289854535,5269058,88.298874,88.43086186504016,0.0,-0.0040889664948053905
2020-11-12,88.63758739715854,89.51081558086179,87.50523849125128,89.00219404062474,89.00219404062474,5097151,89.03891,89.04716194592432,0.04496790529957195,0.0
2020-11-17,89.9530362747098,90.4911532401632,88.21251359013306,89.32927721068255,89.32927721068255,5361897,89.23474,89.41216331149032,0.0,-0.08288610080776948
2020-11-18,88.65720925387731,90.33412478850532,87.52556098941707,89.41216331149032,89.41216331149032,2052279,89.31905,89.50173113929725,0.0,-0.08956782780693118
2020-11-20,89.22026891657505,90.60922917041552,88.91377975987567,89.72966218550215,89.72966218550215,5300193,89.43287,89.92834604355396,0.0,-0.19868385805180822
2021-01-05,90.09741882205192,91.24259032808116,89.55052831359282,90.69163475384968,90.69163475384968,4786350,90.84049,90.6717060316296,-0.01992872222008657,0.0
2021-01-06,89.78978965353836,91.90091950814929,88.95984389837334,90.6717060316296,90.6717060316296,5437997,90.80028,90.59028239781586,-0.08142363381374196,0.0
2021-01-07,90.25236114314896,91.45557007365218,89.60670896912231,90.59028239781586,90.59028239781586,2382295,90.80021,90.4251881702709,-0.16509422754495517,0.0
